feature,shift,mean_shift,std,t_stat,p_value,p_wilcoxon,cohens_d,n_days
atm_iv,T-10-T-11,0.105947,1.030726,0.6971,0.489297,0.017815,0.1028,46
atm_iv,T-9-T-10,-0.10589,0.752072,-0.9339,0.355546,0.00202,-0.1408,44
atm_iv,T-8-T-9,-0.026772,0.868481,-0.1998,0.842641,0.457066,-0.0308,42
atm_iv,T-7-T-8,0.111282,1.056518,0.6493,0.52016,0.220433,0.1053,38
atm_iv,T-6-T-7,-0.302446,1.152667,-1.6595,0.105039,0.001863,-0.2624,40
atm_iv,T-5-T-6,0.169925,0.721647,1.4128,0.166544,0.370733,0.2355,36
atm_iv,T-4-T-5,-0.2192,0.985311,-1.3714,0.178515,0.009139,-0.2225,38
atm_iv,T-3-T-4,0.485458,1.102942,2.6773,0.011107,0.000189,0.4401,37
atm_iv,T-2-T-3,-0.295534,1.352962,-1.2162,0.233394,0.749841,-0.2184,31
atm_iv,T-1-T-2,0.398617,1.048155,2.2175,0.033585,0.138323,0.3803,34
atm_iv,T0-T-1,-0.273828,1.708044,-0.9619,0.342698,0.264819,-0.1603,36
atm_iv,T+1-T0,0.20154,1.318578,0.9545,0.34585,0.142264,0.1528,39
atm_iv,T+2-T+1,0.112986,1.752874,0.4127,0.682009,0.887871,0.0645,41
atm_iv,T+3-T+2,-0.328324,1.318209,-1.4523,0.155859,0.387987,-0.2491,34
atm_iv,T+4-T+3,0.240476,1.40871,0.9033,0.374359,0.536909,0.1707,28
atm_iv,T+5-T+4,0.142681,1.554002,0.4498,0.657064,0.966447,0.0918,24
atm_iv,T+6-T+5,-0.54322,1.230824,-2.2504,0.033465,0.079573,-0.4413,26
atm_iv,T+7-T+6,0.145892,1.270739,0.6595,0.514278,0.764353,0.1148,33
atm_iv,T+8-T+7,-0.047149,1.481599,-0.1772,0.860555,0.467763,-0.0318,31
atm_iv,T+9-T+8,0.058521,1.190645,0.2506,0.804155,0.652813,0.0492,26
atm_iv,T+10-T+9,-0.428977,1.355985,-1.7896,0.083294,0.11945,-0.3164,32
atm_iv,T+11-T+10,-0.150666,0.983514,-0.88,0.385412,0.386161,-0.1532,33
atm_iv,T+12-T+11,-0.251057,1.07611,-1.299,0.203852,0.195397,-0.2333,31
skew_25d,T-10-T-11,-0.393583,2.377626,-1.1227,0.26751,0.956858,-0.1655,46
skew_25d,T-9-T-10,-0.071376,0.824034,-0.5746,0.568583,0.768259,-0.0866,44
skew_25d,T-8-T-9,0.17159,0.768503,1.447,0.155498,0.728949,0.2233,42
skew_25d,T-7-T-8,0.015446,0.359608,0.2648,0.792655,0.490696,0.043,38
skew_25d,T-6-T-7,0.023124,0.435956,0.3355,0.739071,0.599209,0.053,40
skew_25d,T-5-T-6,-0.046635,0.403526,-0.6934,0.492622,0.635737,-0.1156,36
skew_25d,T-4-T-5,0.065987,0.476309,0.854,0.398598,0.635953,0.1385,38
skew_25d,T-3-T-4,0.115611,0.945086,0.7441,0.46165,0.95246,0.1223,37
skew_25d,T-2-T-3,-0.061159,0.671917,-0.5068,0.616008,0.749841,-0.091,31
skew_25d,T-1-T-2,-0.047411,1.16691,-0.2369,0.81419,0.672929,-0.0406,34
skew_25d,T0-T-1,0.646713,1.90984,2.0317,0.049827,0.013927,0.3386,36
skew_25d,T+1-T0,-0.347927,1.325549,-1.6392,0.109432,0.087463,-0.2625,39
skew_25d,T+2-T+1,0.342207,3.023242,0.7248,0.472804,0.321965,0.1132,41
skew_25d,T+3-T+2,0.487153,2.788402,1.0187,0.315752,0.722957,0.1747,34
skew_25d,T+4-T+3,0.175792,3.685341,0.2524,0.802639,0.629528,0.0477,28
skew_25d,T+5-T+4,-0.362145,1.425976,-1.2442,0.225972,0.37475,-0.254,24
skew_25d,T+6-T+5,0.429297,2.001124,1.0939,0.284435,0.802801,0.2145,26
skew_25d,T+7-T+6,-0.482,1.566875,-1.7671,0.086743,0.227642,-0.3076,33
skew_25d,T+8-T+7,0.596986,1.50555,2.2077,0.035049,0.066421,0.3965,31
skew_25d,T+9-T+8,-0.114641,0.670483,-0.8718,0.39159,0.617092,-0.171,26
skew_25d,T+10-T+9,0.040666,1.181794,0.1947,0.846933,0.62473,0.0344,32
skew_25d,T+11-T+10,-0.045056,1.700816,-0.1522,0.880002,0.249088,-0.0265,33
skew_25d,T+12-T+11,0.170478,0.978741,0.9698,0.339902,0.85439,0.1742,31
